Argument ID	Conclusion Farsi	Stance Farsi	Premise Farsi	Conclusion English	Stance English	Premise English	Source	Method
F01145	باید در انتخاب دوست دقت کنیم	به نفع	از کسى پيروى کن که تو را مى گرياند ولى خيرخواه توست و از کسى که تو را مى خنداند اما به تودروغ مى گويد و حقايق را وارونه نشان مى دهد، پيروى مکن	We should be careful in choosing friends	in favor of	Do follow someone who makes you cry but is a well-wisher, and do not follow someone who makes you laugh but lies to you and shows the facts upside down.	Nahj al-Balagha	extracted
F01146	باید در انتخاب دوست دقت کنیم	به نفع	با صد کس مصاحبت بکن و با یک کس دشمنی مکن و راضی باش که غلام نیکان باشی و راضی مشو که فرزند بدان باشی.	We should be careful in choosing friends	in favor of	Be with a hundred people and don't be enmity with one person and be content to be a good people's slave and not be content to be a bad people's child.	Nahj al-Balagha	deduced
F01147	باید به همه محبت کنیم.	به نفع	حق تعالی فرموده است که خلایق عیال منند، محبوب ترین ایشان نزد من کسی است که به ایشان مهربان تر باشد، سعی در برآوردن حاجت ایشان بیشتر کند.	We should be kind to everyone	in favor of	Almighty God has said that the creations are my family, the most beloved of them to me is the one who is more kind to them, and tries to fulfill their needs more.	Nahj al-Balagha	deduced
F01148	باید به همه محبت کنیم.	به نفع	دل هاى مردم گريزان است، به كسى روى آورند كه خوشرويى كند	We should be kind to everyone	in favor of	People's hearts are shy, they turn to someone who is kind and friendly	Nahj al-Balagha	deduced
F01149	باید به همه محبت کنیم.	به نفع	مهربانی با مردم را پوشش دل خویش قرار ده، و با همه دوست و مهربان باش. مبادا هرگز، چونان حیوان شکاری باشی که خوردن آنان را غنیمت دانی؛ زیرا مردم دو دسته‌اند، دسته ای برادر دینی تو، و دسته دیگر همانند تو در آفرینش می‌باشند	We should be kind to everyone	in favor of	Cover your heart with kindness to people, and be friendly and kind to everyone. May you never be like a hunting animal that eats them as a trophy; Because there are two groups of people, one group is your religious brother, and the other group is like you in creation	Nahj al-Balagha	deduced
F01150	باید به همه محبت کنیم.	به نفع	با مردم آنگونه معاشرت كنيد، كه اگر مرديد بر شما اشك ريزند، و اگر زنده مانديد، با اشتياق سوى شما آيند	We should be kind to everyone	in favor of	Socialize with people in such a way that if you die, they will shed tears on you, and if you survive, they will come to you with enthusiasm.	Nahj al-Balagha	deduced
F01151	باید به همه محبت کنیم.	در مقابل	هرکه محبت خود را به غیر محلش بگذارد، خود متعرض قطع محبت شده است	We should be kind to everyone	against	Whoever puts her love and kindness in the wrong place, she herself has been cut off from kindness	Nahj al-Balagha	deduced
F01152	باید در انتخاب محلی که خود را قرار می‌دهیم دقت کنیم.	به نفع	هرکه خود را در محل تهمت درآورد ملامت نکند کسی را که گمان بد به او می برد.	We must be careful in choosing the place where we place ourselves.	in favor of	Whoever finds herself in the place of slander, should not blame the one who carries a bad suspicion against her.	Nahj al-Balagha	deduced
F01153	باید به دوستان کمک کنیم.	به نفع	هرکه جامه زیادتی داشته باشد و داند که برادر مؤمنش به آن محتاج است، به او ندهد، حق تعالی او را سرنگون در آتش جهنّم اندازد	We should help friends	in favor of	Whoever has excess clothing and knows that his believing brother needs it, does not give it to him, the Almighty will throw him down in the fire of hell.	Nahj al-Balagha	deduced
F01154	باید به دوستان کمک کنیم.	به نفع	كسى را كه نزديكانش واگذارند، بيگانه او را پذيرا مى گردد.	We should help friends	in favor of	A person who is abandoned by her friends, an enemy finds her.	Nahj al-Balagha	extracted
F01155	نباید عیب دیگران را بر ملا کنیم	به نفع	باید که دورترین افراد رعیت از تو و دشمن ترین آنان در نزد تو، کسی باشد که بیش از دیگران عیب جوی مردم است. زیرا در مردم عیب هایی است و والی از هر کس دیگر به پوشیدن آن ها سزاوارتر است.	We should not reveal the imperfections of the others	in favor of	The people who are farthest away from you and the most hostile among them in your eyes should be the one who finds fault with people more than others. Because there are flaws in people and the governor deserves to wear them more than anyone else.	Nahj al-Balagha	extracted
F01156	نباید عیب دیگران را بر ملا کنیم	به نفع	ز عیب های مردم آنچه از نظرت پنهان است، مخواه که آشکار شود، زیرا آنچه بر عهده توست، پاکیزه ساختن چیزهایی است که بر تو آشکار است و خداست که بر آنچه از نظرت پوشیده است، داوری کند.	We should not reveal the imperfections of the others	in favor of	About the faults of people, what is hidden from your sight, do not want it to be revealed, because what is your duty is to purify the things that are visible to you, and it is God who will judge what is hidden from your sight.	Nahj al-Balagha	extracted
F01157	نباید عیب دیگران را بر ملا کنیم	به نفع	توانی عیب های دیگران را بپوشان، تا خداوند عیب های تو را که خواهی از رعیت مستور بماند، بپوشاند.	We should not reveal the imperfections of the others	in favor of	You can cover the faults of others so that God will cover your faults that you want to remain hidden from the subjects.	Nahj al-Balagha	extracted
F01158	باید قدردان دیگران باشیم	به نفع	پستى اين است كه سپاسگزار نعمت نباشى .	We should be grateful	in favor of	Being a mean and bad person is to not be grateful for blessings.	Nahj al-Balagha	extracted
F01159	باید قدردان دیگران باشیم	به نفع	سپاسگزارى تو از كسى كه از تو راضى است ، موجب رضايت و وفادارى بيشتر او مى شود و سپاس گزاريت از كسى كه از تو ناخشنود است ، سبب رفع ناراحتى و مهربانى او نسبت به تو مى شود	We should be grateful	in favor of	Your gratitude to the person who is satisfied with you will make her more satisfied and loyal, and your gratitude to the person who is unhappy with you will relieve her discomfort and kindness towards you.	Nahj al-Balagha	extracted
F01160	باید قدردان دیگران باشیم	به نفع	همواره از آنان ستايش كن، و كارهاى مهمّى كه انجام داده اند بر شمار، زيرا يادآورى كارهاى ارزشمند آنان، شجاعان را بر مى انگيزاند، و ترسوها را به تلاش وامى دارد	We should be grateful	in favor of	Always praise your subordinates, and count the important things they have done, because reminding them of their valuable deeds motivates the brave, and encourages the cowards to strive.	Nahj al-Balagha	extracted
F01161	باید قدردان دیگران باشیم	به نفع	و در يك ارزشيابى دقيق، رنج و زحمات هر يك از آنان را شناسايى كن، و هرگز تلاش و رنج كسى را به حساب ديگرى نگذاشته، و ارزش خدمت او را ناچيز مشمار، تا شرافت و بزرگى كسى موجب نگردد كه كار كوچكش را بزرگ بشمارى، يا گمنامى كسى باعث شود كه كار بزرگ او را ناچيز بدانى.	We should be grateful	in favor of	And in a precise evaluation, recognize the suffering and labors of each of your subordinates, never put anyone's effort and suffering into another's account, and consider the value of his service as insignificant, so that the honor and greatness of someone do not cause you to consider his small work as big. Or someone's anonymity makes you consider his great work insignificant.	Nahj al-Balagha	extracted
F01162	باید وفای به عهد داشته باشیم	به نفع	اگر پيمانى بين تو و دشمن منعقد گرديد، يا در پناه خود او را امان دادى، به عهد خويش وفا دار باش، و بر آنچه بر عهده گرفتى امانت دار باش، و جان خود را سپر پيمان خود گردان، زيرا هيچ يك از واجبات الهى همانند وفاى به عهد نيست. كه همه مردم جهان با تمام اختلافاتى كه در افكار و تمايلات دارند، در آن اتّفاق نظر داشته باشند.	We must keep our promise	in favor of	If a treaty was concluded between you and the enemy, or if you protected him under your protection, be faithful to your covenant, and be faithful to what you undertook, and put your life as the shield of your covenant. All the people of the world, with all their differences in thoughts and inclinations, agree on it.	Nahj al-Balagha	extracted
F01163	باید وفای به عهد داشته باشیم	به نفع	پس هرگز پيمان شكن مباش، و در عهد خود خيانت مكن، و دشمن را فريب مده، زيرا كسى جز نادان بدكار، بر خدا گستاخى روا نمى دارد	We must keep our promise	in favor of	Never break a covenant, and do not betray your promise, and do not deceive the enemy, because no one is arrogant to God except an ignorant and evil-doer.	Nahj al-Balagha	extracted
F01164	باید وفای به عهد داشته باشیم	به نفع	خلاف وعده عمل كردن، خشم خدا و مردم را بر مى انگيزاند كه خداى بزرگ فرمود: «دشمنى بزرگ نزد خدا آن كه بگوييد و عمل نكنيد».	We must keep our promise	in favor of	Acting contrary to the promise provokes the anger of God and people, as God Almighty said: "A great enemy in the sight of God is that which you say and do not act."	Nahj al-Balagha	extracted
F01165	باید وفای به عهد داشته باشیم	به نفع	مبادا قراردادى را امضاء كنى كه در آن براى دغلكارى و فريب راه هايى وجود دارد، و پس از محكم كارى و دقّت در قرار داد نامه، دست از بهانه جويى بردار، مبادا مشكلات پيمانى كه بر عهده ات قرار گرفته، و خدا آن را بر گردنت نهاده، تو را به پيمان شكنى وا دارد، زيرا شكيبايى تو در مشكلات پيمان ها كه اميد پيروزى در آينده را به همراه دارد، بهتر از پيمان شكنى است كه از كيفر آن مى ترسى، و در دنيا و آخرت نمى توانى پاسخ گوى پيمان شكنى باشى.	We must keep our promise	in favor of	Don't sign a contract in which there are ways to cheat and deceive and after careful work and accuracy in the contract, stop looking for excuses. Lest your responsibilities of the contract and what you have promised to God must not make you break it. Since your patience in the contract's problems, will bring the hope of victory is better than breaking the promise which will have punishment, and also in this world and hereafter, you can not answer the broken covenant.	Nahj al-Balagha	extracted
F01166	حکومت‌ها نباید خونریزی کنند	به نفع	ریختن خون انسان، در جمیع ادیان الهی حرام است چرا که تباه کردن یک انسان نبوده و بلکه به تباهی کشاندن خلقت و در واقع منازعه با ربوبیت خداست	governments should not bloodshed	in favor of	Spilling human blood is forbidden in all divine religions because it is not to destroy a human being, but to destroy the creation and in fact, it is a conflict with the Lordship of God.	Nahj al-Balagha	extracted
F01167	حکومت‌ها نباید خونریزی کنند	به نفع	از خونريزى بپرهيز، و از خون ناحق پروا كن، كه هيچ چيز همانند خون ناحق كيفر الهى را نزديك مجازات را بزرگ نمى كند، و نابودى نعمت ها را سرعت نمى بخشد و زوال حكومت را نزديك نمى گرداند، و روز قيامت خداى سبحان قبل از رسيدگى اعمال بندگان، نسبت به خون هاى ناحق ريخته شده داورى خواهد كرد	governments should not bloodshed	in favor of	Avoid bloodshed, and be wary of unjust blood, because nothing like unjust blood magnifies God's punishment, does not speed up the destruction of blessings, and does not bring the decline of the government closer, and the Day of Resurrection of God Subhanahu wa Ta'ala before The investigation of the actions of the servants will judge the unjustly shed blood	Nahj al-Balagha	extracted
F01168	حکومت‌ها نباید خونریزی کنند	به نفع	خون ناحق، پايه هاى حكومت را سست، و پست مى كند و بنياد آن را بر كنده به ديگرى منتقل سازد،	governments should not bloodshed	in favor of	Unrighteous blood weakens the foundations of the government and demolishes its foundation and transfers it to another.	Nahj al-Balagha	extracted
F01169	به مرگ فکر کردن خوب نیست	در مقابل	آن كس كه فراوان به ياد مرگ باشد در دنيا به اندك چيزى خشنود است	It is not good to think about death	against	The one who remembers death a lot is happy with little in the world	Nahj al-Balagha	extracted
F01170	به مرگ فکر کردن خوب نیست	در مقابل	كسى كه به ياد سفر طولانى آخرت باشد، خود را آماده مى سازد	It is not good to think about death	against	The one who remembers the long journey of the hereafter prepares herself	Nahj al-Balagha	extracted
F01171	به مرگ فکر کردن خوب نیست	در مقابل	آن كس كه مرگ را انتظار مى كشد در نيكى ها شتاب مى كند	It is not good to think about death	against	He who waits for death hastens in good deeds	Nahj al-Balagha	extracted
F01172	کنجکاوی خوب نیست	به نفع	از دين و آيين مردم پرس و جو مكن كه بى دوست مى مانى.	inquisitiveness is not good	in favor of	Do not ask about the religion and customs of the people, because you will remain friendless.	Nahj al-Balagha	extracted
F01173	کنجکاوی خوب نیست	به نفع	تفحّص و کنجکاوی در امور شخصی دیگران، نوعی پیروی از سوء ظن است؛ که این کار درواقع عکس‌العمل بدبینی است	inquisitiveness is not good	in favor of	Scrutiny and curiosity in the personal affairs of others is a form of the following suspicion; This is actually a pessimistic reaction	Nahj al-Balagha	extracted
F01174	کنجکاوی خوب نیست	به نفع	هرگاه آبرو بریزد، جمع‌آوری آن دشوار است	inquisitiveness is not good	in favor of	Once honor is shed, it is difficult to collect it	Nahj al-Balagha	extracted
F01175	کنجکاوی خوب نیست	به نفع	پس آن كس كه دنبال توهّم و كنجكاوى دروغين رفت به حق نرسيد	inquisitiveness is not good	in favor of	So the one who followed false illusions and curiosity did not reach the truth	Nahj al-Balagha	extracted
F01176	باید از ستیزه جویی پرهیز کنیم	به نفع	از خصومت و جدال باید پرهیز کرد که سبب شک و تردید مى شود، اعمال انسان را حبط و نابود مى کند و صاحبش را به هلاکت مى کشاند و اى بسا سخنى بگوید که هرگز بخشوده نشود	We must avoid militancy	in favor of	Enmity and conflict should be avoided because it causes doubts, destroys and destroys human actions, and leads their owner to destruction, and she may say something that will never be forgiven.	Nahj al-Balagha	extracted
F01177	باید از ستیزه جویی پرهیز کنیم	به نفع	هیچ قومى گمراه نشدند مگر این که اعتماد بر جدال کردند	We must avoid militancy	in favor of	No people went astray unless they trusted in conflict	Nahj al-Balagha	extracted
F01178	باید از ستیزه جویی پرهیز کنیم	به نفع	آن كس كه به ستيزه جويى و نزاع پرداخت از ديدن حق نا بينا شد، و آن كس كه از راه حق منحرف گرديد، نيكويى را زشت، و زشتى را نيكويى پنداشت و سر مست گمراهى ها گشت، و آن كس كه دشمنى ورزيد پيمودن راه حق بر او دشوار و كارش سخت، و نجات او از مشكلات دشوار است.	We must avoid militancy	in favor of	The one who engages in militancy and strife became blind from seeing the truth, and the one who deviated from the path of truth, considered goodness as ugly, and considered ugliness as goodness, and became drunk on errors, and the one who made enmity did not follow the path. The truth is difficult for him, and it is difficult to save him from problems.	Nahj al-Balagha	extracted
F01179	باید از ستیزه جویی پرهیز کنیم	به نفع	پس آن كس كه جدال و نزاع را عادت خود قرار داد از تاريكى شبهات بيرون نخواهد آمد	We must avoid militancy	in favor of	Therefore, the one who makes quarrels and quarrels his habit will not come out of the darkness of doubts	Nahj al-Balagha	extracted
F01180	نباید بترسیم	به نفع	آن كس كه از هر چيزى ترسيد همواره در حال عقب نشينى است	We should not be afraid	in favor of	The one who is afraid of anything is always retreating	Nahj al-Balagha	extracted
F01181	باید اهل تلاش باشیم	به نفع	همانا فقر، دين انسان را ناقص، و عقل را سرگردان، و عامل دشمنى است.	We must strive	in favor of	Indeed, poverty makes man's religion incomplete, and reason wanders, and causes enmity.	Nahj al-Balagha	extracted
F01182	باید اهل تلاش باشیم	به نفع	بهره انسان تنها با سعى و تلاش او ارتباط دارد	We must strive	in favor of	Human benefit is only related to her efforts	Nahj al-Balagha	deduced
F01183	باید اهل تلاش باشیم	به نفع	و آن كس كه تسليم حوادث گردد و به تباهى دنيا و آخرت گردن نهد	We must strive	in favor of	And the one who submits himself to the events will accept the destruction of this world and the hereafter	Nahj al-Balagha	extracted
F01184	باید اهل تلاش باشیم	به نفع	حاصل كوتاهى، پشيمانى، و حاصل دورانديشى، سلامت است.	We must strive	in favor of	The result of the low effort is regret, and the result of foresight is health.	Nahj al-Balagha	extracted
F01185	باید اهل تلاش باشیم	به نفع	فقر مرگ بزرگ است	We must strive	in favor of	Poverty is the great death	Nahj al-Balagha	extracted
F01186	باید اهل تلاش باشیم	به نفع	هر كس تن به سستى دهد، حقوق را پايمال كند	We must strive	in favor of	Whoever indulges in laziness violates rights	Nahj al-Balagha	extracted
F01187	باید اهل تلاش باشیم	به نفع	آن كس كه در عمل كوتاهى كند، دچار اندوه گردد،	We must strive	in favor of	The one who is short in action will be saddened.	Nahj al-Balagha	extracted
F01188	باید اهل تلاش باشیم	به نفع	جوينده چيزى يا به آن يا به برخى از آن، خواهد رسيد.	We must strive	in favor of	The seeker of something will reach it or some of it.	Nahj al-Balagha	extracted
F01189	باید اهل تلاش باشیم	به نفع	ارزش مرد به اندازه همّت اوست	We must strive	in favor of	A man's worth is equal to his efforts	Nahj al-Balagha	extracted
F01190	باید یکدیگر را نصیحت کنیم	به نفع	آن كه تو را هشدار داد، چون كسى است كه مژده داد	We should advice each other	in favor of	The one who warned you is like a person who give you good news	Nahj al-Balagha	extracted
F01191	باید امیدوار باشیم	به نفع	در شگفتم از كسى كه مى تواند استغفار كند و نااميد است	We must hope	in favor of	I am amazed at the one who can ask for forgiveness and is hopeless	Nahj al-Balagha	extracted
F01192	باید امیدوار باشیم	به نفع	ناامیدی، صاحب خود را می کشد	We must hope	in favor of	Desperation kills its owner	Nahj al-Balagha	extracted
F01193	باید امیدوار باشیم	به نفع	بزرگ­ترین بلا، ناامیدی است	We must hope	in favor of	The greatest calamity is despair	Nahj al-Balagha	extracted
F01194	باید امیدوار باشیم	به نفع	هر دوری را بازگشتی است	We must hope	in favor of	Every distance will have a return	Nahj al-Balagha	extracted
F01195	باید امیدوار باشیم	به نفع	اى فرزند آدم اندوه روز نيامده را بر امروزت ميفزا، زيرا اگر روز نرسيده، از عمر تو باشد خدا روزى تو را خواهد رساند	We must hope	in favor of	O son of Adam, the sorrow of the day that has not come will add to your present, because if tomorrow's day is in your life, God will bring you a day.	Nahj al-Balagha	extracted
F01196	باید امیدوار باشیم	به نفع	اگر به آنچه كه مى خواستى نرسيدى، از آنچه هستى نگران مباش	We must hope	in favor of	If you didn't get what you wanted, don't worry about what you are	Nahj al-Balagha	extracted
F01197	افراط مذموم است	به نفع	آن كه ميانه روى كند تهيدست نخواهد شد.	Excess is reprehensible	in favor of	The one who is moderate will not be deprived	Nahj al-Balagha	extracted
F01198	افراط مذموم است	به نفع	نادان را يا تندرو يا كند رو مى بينى	Excess is reprehensible	in favor of	You see an ignorant person as extremist	Nahj al-Balagha	extracted
F01199	باید اهل خودسازی باشیم	به نفع	پيش از آنكه به حسابت برسند، خودت به حساب خود برس، كه اين كار، حساب فرداى تو را آسان تر مى كند. و پيش از آنكه تو (و عمل تو) را وزن كنند، خودت را وزن كن و آماده عرضه بزرگ باش، آن روز كه تو را عرضه مى كنند	We must self-improvement ourselves	in favor of	Before they check your account, check your account yourself, which will make your next account easier. And before they weigh you (and your actions), weigh yourself and be ready for the great offering, on the day when you will be offered.	Nahj al-Balagha	extracted
F01200	باید اهل خودسازی باشیم	به نفع	در شگفتم از كسى كه در پى يافتن گمشده خويش مى گردد، در حالى كه «خود» را گم كرده و در پى يافتن «خويش» نيست	We must self-improvement ourselves	in favor of	I am amazed at the person who is looking for her lost self, while she has lost her "self" and is not looking for her "self".	Nahj al-Balagha	extracted
F01201	باید اهل خودسازی باشیم	به نفع	كسى كه خود را رهبر مردم قرار داد، بايد پيش از آن كه به تعليم ديگران پردازد، خود را بسازد، و پيش از آن كه به گفتار تربيت كند، با كردار تعليم دهد، زيرا آن كس كه خود را تعليم دهد و ادب كند سزاوارتر به تعظيم است از آن كه ديگرى را تعليم دهد و ادب بياموزد.	We must self-improvement ourselves	in favor of	The one who made himself the leader of the people should build himself up before teaching others, and teach with actions before educating others because the one who educates himself and behaves is more worthy than the one who teaches others and learns manners.	Nahj al-Balagha	extracted
F01202	باید اهل یادگیری باشیم	به نفع	دانش، راه عذر تراشى را بر بهانه جويان بسته است.	We must be people of learning and knowledge	in favor of	Knowledge has closed the way of making excuses for those who seek excuses.	Nahj al-Balagha	extracted
F01203	باید اهل یادگیری باشیم	به نفع	مردم دشمن چيزهايى هستند كه نمى دانند.	We must be people of learning and knowledge	in favor of	People are enemies of things they don't know.	Nahj al-Balagha	extracted
F01204	باید اهل یادگیری باشیم	به نفع	حكمت گمشده مؤمن است، حكمت را فراگير هر چند از منافقان باشد.	We must be people of learning and knowledge	in favor of	The lost of a believer is wisdom, she learns wisdom even from the hypocrites.	Nahj al-Balagha	extracted
F01205	باید اهل یادگیری باشیم	به نفع	همانا اين دل ها همانند بدن ها افسرده مى شوند، پس براى شادابى دلها، سخنان زيباى حكمت آميز را بجوييد.	We must be people of learning and knowledge	in favor of	Indeed, these hearts become depressed just like the bodies, so to cheer up the hearts, look for beautiful words of wisdom.	Nahj al-Balagha	extracted
F01206	باید اهل یادگیری باشیم	به نفع	هر ظرفى با ريختن چيزى در آن پر مى شود جز ظرف دانش كه هر چه در آن جاى دهى، وسعتش بيشتر مى شود.	We must be people of learning and knowledge	in favor of	Every vessel is filled by pouring something into it, except the vessel of knowledge, the more you put in it, the more it expands.	Nahj al-Balagha	extracted
F01207	باید اهل یادگیری باشیم	به نفع	خوبى آن نيست كه مال و فرزندت بسيار شود، بلكه خير آن است كه دانش تو فراوان، و بردبارى تو بزرگ و گران مقدار باشد	We must be people of learning and knowledge	in favor of	It is not good that your wealth and children become many, but it is good that your knowledge is abundant, and your patience is great and precious.	Nahj al-Balagha	extracted
F01208	باید اهل یادگیری باشیم	به نفع	ثروت اندوزان بى تقوا مرده گرچه به ظاهر زنده اند، امّا دانشمندان، تا دنيا برقرار است زنده اند، بدن هايشان گرچه در زمين پنهان امّا ياد آنان در دل ها هميشه زنده است.	We must be people of learning and knowledge	in favor of	Although the dead impious wealth collectors are apparently alive, but the scientists are alive until the end of the world, although their bodies are hidden in the earth, but their memory is always alive in the hearts.	Nahj al-Balagha	extracted
F01209	باید اهل یادگیری باشیم	به نفع	دانش بهتر از مال است، زيرا علم، نگهبان تو است، و مال را تو بايد نگهبان باشى مال با بخشش كاستى پذيرد امّا علم با بخشش فزونى گيرد، و مقام و شخصيّتى كه با مال به دست آمده با نابودى مال، نابود مى گردد.	We must be people of learning and knowledge	in favor of	Knowledge is better than wealth, because knowledge is your guardian, and you must be the guardian of wealth. Wealth diminishes with forgiveness, but knowledge increases with forgiveness, and the position and personality gained with wealth is destroyed with the destruction of wealth.	Nahj al-Balagha	extracted
F01210	باید اهل یادگیری باشیم	به نفع	ارزش هر كس به مقدار دانايى و تخصّص اوست.	We must be people of learning and knowledge	in favor of	Everyone's value is based on her knowledge and expertise.	Nahj al-Balagha	extracted
F01211	باید شکیبا باشیم	به نفع	صبر به اندازه مصيبت فرود آيد، و آن كه در مصيبت بى تاب بر رانش زند، اجرش نابود مى گردد.	We must be patient	in favor of	Patience descends to the extent of calamity, and the one who pushes impatiently in calamity, her reward will be destroyed.	Nahj al-Balagha	extracted
F01212	باید شکیبا باشیم	به نفع	بردبارى پرده اى است پوشاننده، و عقل شمشيرى است برّان، پس كمبودهاى اخلاقى خود را با بردبارى بپوشان، و هواى نفس خود را با شمشير عقل بكش	We must be patient	in favor of	Tolerance is a veil that covers, and wisdom is a sword, so cover your moral shortcomings with tolerance, and kill your desires and lust with the sword of wisdom.	Nahj al-Balagha	extracted
F01213	باید شکیبا باشیم	به نفع	انسان شكيبا، پيروزى را از دست نمى ‏دهد، هر چند زمان آن طولانى شود	We must be patient	in favor of	A patient person does not lose victory, even if it takes a long time	Nahj al-Balagha	extracted
F01214	باید شکیبا باشیم	به نفع	بردبارى و تحمّل سختى ها، ابزار رياست است.	We must be patient	in favor of	patience and tolerance of difficulties are tools of leadership.	Nahj al-Balagha	extracted
F01215	باید شکیبا باشیم	به نفع	اگر بردبار نيستى، خود را به بردبارى بنماى، زيرا اندك است كسى كه خود را همانند مردمى كند و از جمله آنان به حساب نيايد.	We must be patient	in favor of	If you are not tolerant, show yourself to be tolerant, because there are few people who make themselves like people and are not counted among them.	Nahj al-Balagha	extracted
F01216	باید شکیبا باشیم	به نفع	نخستين پاداش بردبار از بردبارى اش آن كه مردم در برابر نادان، پشتيبان او خواهند بود.	We must be patient	in favor of	The first reward of the tolerant person for her tolerance is that people will support her against the ignorant.	Nahj al-Balagha	extracted
F01217	باید شکیبا باشیم	به نفع	شكيبايى دهان بند بى خردان است	We must be patient	in favor of	Patience closes the sayings of the unwise	Nahj al-Balagha	extracted
F01218	باید شکیبا باشیم	به نفع	با شكيبايى در برابر بى خرد، ياران انسان زياد گردند.	We must be patient	in favor of	With patience against the foolish, the friends of man will increase.	Nahj al-Balagha	extracted
F01219	باید شکیبا باشیم	به نفع	چون سختى ها به نهايت رسد، گشايش پديد آيد، و آن هنگام كه حلقه هاى بلا تنگ گردد آسايش فرا رسد.	We must be patient	in favor of	When the hardships come to an end, the opening will appear, and when the circles of trouble are narrowed, comfort will come.	Nahj al-Balagha	extracted
F01220	باید شکیبا باشیم	به نفع	بر شما باد به شكيبايى، كه شكيبايى، ايمان را چون سر است بر بدن و ايمان بدون شكيبايى چونان بدن بى سر، ارزشى ندارد	We must be patient	in favor of	May patience be upon you, because patience to faith is like as the head is to the body, and faith without patience is like a body without a head and is worthless	Nahj al-Balagha	extracted
F01221	نباید از گفتن نمی‌دانم ابا کنیم	به نفع	گفتن نمی‌دانم را یاد بگیرید، چراکه اگر بگویید نمی‌دانم به شما تعلیم می‌دهند تا بدانید و اگر بگویید می‌دانم از شما سؤال می‌کنند و نمی‌دانید و رسوا می‌شوید.	We should not refuse to say I don't know	in favor of	Learn to say I don't know, because if you say I don't know, they will teach you to know, and if you say I know, they will ask you and you don't know, and you will be disgraced.	Nahj al-Balagha	extracted
F01222	نباید از گفتن نمی‌دانم ابا کنیم	به نفع	عالم هر گاه از او سؤالى شود كه پاسخش را نمى داند، از اين كه بگويد : «پاسخش را نمى دانم» ، شرم نمى كند	We should not refuse to say I don't know	in favor of	Whenever a scholar is asked a question that she does not know the answer to, she is not ashamed to say: "I do not know the answer"	Nahj al-Balagha	extracted
F01223	نباید از گفتن نمی‌دانم ابا کنیم	به نفع	كسى كه از گفتن «نمى دانم» روى گردان است، به هلاكت و نابودى مى رسد	We should not refuse to say I don't know	in favor of	The one who turns away from saying "I don't know" will be destroyed	Nahj al-Balagha	extracted
F01224	باید اهل عمل کردن باشیم	به نفع	علم و عمل پيوندى نزديك دارند. و كسى كه دانست بايد به آن عمل كند، چرا كه علم، عمل را فراخواند، اگر پاسخش داد مى ماند و گر نه كوچ مى كند	We must be people of action	in favor of	Science and practice are closely related. And the one who knows should act on it because science calls for action, if he answers it, it will stay, and if not, it moves.	Nahj al-Balagha	extracted
F01225	باید اهل عمل کردن باشیم	به نفع	بى ارزش ترين دانش، دانشى است كه بر سر زبان است، و برترين علم، علمى است كه در اعضا و جوارح آشكار است.	We must be people of action	in favor of	The most worthless knowledge is the knowledge that is on the tongue, and the best knowledge is the knowledge that is evident in the limbs.	Nahj al-Balagha	extracted
F01226	باید اهل عمل کردن باشیم	به نفع	علم خود را نادانى، و يقين خود را شك و ترديد مپنداريد، پس هر گاه دانستيد عمل كنيد، و چون به يقين رسيديد اقدام كنيد	We must be people of action	in favor of	Do not consider your knowledge to be ignorance, and your certainty to be doubt, so act whenever you know, and act when you are certain.	Nahj al-Balagha	extracted
F01227	باید اهل عمل کردن باشیم	به نفع	كسى كه كردارش او را به جايى نرساند، افتخارات خاندانش او را به جايى نخواهد رسانيد	We must be people of action	in favor of	A person whose actions do not lead her to a place, the honors of her family will not lead her to a place	Nahj al-Balagha	extracted
F01228	باید اهل عمل کردن باشیم	به نفع	چون روايتى را شنيديد، آن را بفهميد عمل كنيد، نه بشنويد و نقل كنيد، زيرا راويان علم فراوان، و عمل كنندگان آن اندكند.	We must be people of action	in favor of	When you hear a narration, understand it and act, not hear and narrate, because the narrators of knowledge are many, and the practitioners of it are few.	Nahj al-Balagha	extracted
F01229	باید اهل عمل کردن باشیم	به نفع	چه بسا دانشمندى كه جهلش او را از پاى در آورد و دانش او همراهش باشد امّا سودى به حال او نداشته باشد	We must be people of action	in favor of	the scientist whose ignorance will destroy her is the one whose knowledge is with her but it will not benefit her.	Nahj al-Balagha	extracted
F01230	باید مشورت کنیم	به نفع	هر كس خود رأى شد به هلاكت رسيد، و هر كس با ديگران مشورت كرد، در عقل هاى آنان شريك شد	We should consult	in favor of	Whoever made her own opinion was doomed, and whoever consulted others became a partner in their thoughts.	Nahj al-Balagha	extracted
F01231	باید مشورت کنیم	به نفع	آن كس كه از افكار و آراء گوناگون استقبال كند، صحيح را از خطا خوب شناسد.	We should consult	in favor of	The one who accepts different thoughts and opinions knows right from wrong.	Nahj al-Balagha	extracted
F01232	نباید بترسیم	به نفع	هرگاه از سختى كارى ترسيدى در برابر آن سرسختى نشان ده ، رامت مى شود، و در برابر حوادث روزگار چاره انديشى كن ، بر تو آسان مى شوند	We should not afraid	in favor of	Whenever you are afraid of the difficulty of a task, show stubbornness against it, you will be relieved, and think of a solution against the events of the day, they will become easy for you.	Nahj al-Balagha	extracted
